Provider,In_TotalClaims,In_AvgDiagnosisCount,In_AvgProcedureCount,In_PctFullDiagnosis,In_PctHighProcedure,In_AvgProcDiagRatio,Out_TotalClaims,Out_AvgDiagnosisCount,Out_AvgProcedureCount,Out_PctFullDiagnosis,Out_PctHasProcedure,Out_AvgProcDiagRatio,PotentialFraud
PRV51061,1.0,7.0,2.0,0.0,0.0,0.25,144.0,7.285714285714286,0.0,0.0,0.0,0.0,0
PRV51062,3.0,9.0,1.6666666666666667,0.0,0.0,0.16666666666666666,394.0,7.896551724137931,0.0,0.01015228426395939,0.0,0.0,0
PRV51063,0.0,0.0,0.0,0.0,0.0,0.0,149.0,7.181818181818182,0.0,0.013422818791946308,0.0,0.0,0
PRV51064,36.0,7.833333333333333,0.7222222222222222,0.05555555555555555,0.05555555555555555,0.08741382074715408,267.0,8.304347826086957,0.0,0.00749063670411985,0.0,0.0,1
PRV51065,10.0,8.9,0.9,0.1,0.0,0.0915909090909091,18.0,9.333333333333334,0.0,0.05555555555555555,0.0,0.0,0
PRV51066,2.0,7.5,1.0,0.5,0.0,0.12878787878787878,22.0,6.666666666666667,0.0,0.0,0.0,0.0,0
PRV51067,12.0,8.916666666666666,1.0833333333333333,0.25,0.08333333333333333,0.10774410774410775,46.0,7.4,0.0,0.021739130434782608,0.0,0.0,1
PRV51068,9.0,7.777777777777778,0.3333333333333333,0.0,0.0,0.03888888888888889,252.0,7.892857142857143,0.0,0.011904761904761904,0.0,0.0,0
PRV51070,10.0,7.7,0.6,0.2,0.1,0.1040909090909091,89.0,7.0,0.0,0.0,0.0,0.0,0
PRV51071,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.25,0.0,0.08333333333333333,0.0,0.0,0
PRV51072,12.0,8.833333333333334,0.5,0.3333333333333333,0.0,0.04772727272727273,200.0,8.642857142857142,0.0,0.01,0.0,0.0,0
PRV51074,5.0,8.2,0.2,0.0,0.0,0.03333333333333333,34.0,7.25,0.0,0.0,0.0,0.0,0
PRV51075,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,0.0,0.058823529411764705,0.0,0.0,0
PRV51076,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.25,0.0,0.034482758620689655,0.0,0.0,0
PRV51077,16.0,7.9375,0.5,0.125,0.0,0.05710227272727273,17.0,3.0,0.0,0.0,0.0,0.0,1
PRV51078,9.0,8.88888888888889,0.8888888888888888,0.2222222222222222,0.0,0.08686868686868687,14.0,9.0,0.0,0.0,0.0,0.0,0
PRV51081,6.0,8.333333333333334,1.5,0.0,0.16666666666666666,0.16111111111111112,194.0,8.366666666666667,0.0,0.02577319587628866,0.0,0.0,0
PRV51082,0.0,0.0,0.0,0.0,0.0,0.0,34.0,9.0,0.0,0.0,0.0,0.0,0
PRV51083,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.166666666666667,0.0,0.0,0.0,0.0,0
PRV51084,20.0,8.4,0.7,0.0,0.0,0.07928571428571429,90.0,6.5,0.0,0.0,0.0,0.0,1
PRV51086,31.0,8.548387096774194,0.7741935483870968,0.16129032258064516,0.0,0.08401526788623563,108.0,9.25,0.0,0.009259259259259259,0.0,0.0,0
PRV51089,18.0,8.444444444444445,0.9444444444444444,0.1111111111111111,0.0,0.0960578002244669,210.0,8.136363636363637,0.0,0.014285714285714285,0.0,0.0,0
PRV51090,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0
PRV51091,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.25,0.0,0.022727272727272728,0.0,0.0,0
PRV51093,2.0,9.0,1.0,0.0,0.0,0.1,7.0,0.0,0.0,0.0,0.0,0.0,0
PRV51096,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0
PRV51097,0.0,0.0,0.0,0.0,0.0,0.0,125.0,7.25,0.0,0.0,0.0,0.0,0
PRV51098,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0
PRV51100,5.0,8.6,0.8,0.2,0.0,0.08675324675324676,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51101,3.0,7.333333333333333,0.3333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51102,12.0,8.333333333333334,0.9166666666666666,0.16666666666666666,0.0,0.0973905723905724,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51103,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1
PRV51104,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.08333333333333333,0.0,0.0,0
PRV51105,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0
PRV51108,19.0,7.578947368421052,0.3157894736842105,0.0,0.0,0.0518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51109,3.0,8.666666666666666,1.3333333333333333,0.0,0.0,0.14074074074074075,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51110,5.0,9.4,0.8,0.4,0.0,0.07636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51111,0.0,0.0,0.0,0.0,0.0,0.0,132.0,6.571428571428571,0.0,0.0,0.0,0.0,0
PRV51112,0.0,0.0,0.0,0.0,0.0,0.0,304.0,7.954545454545454,0.0,0.013157894736842105,0.0,0.0,0
PRV51113,0.0,0.0,0.0,0.0,0.0,0.0,132.0,9.142857142857142,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.0,0
PRV51114,0.0,0.0,0.0,0.0,0.0,0.0,262.0,8.074074074074074,0.0,0.007633587786259542,0.0,0.0,0
PRV51115,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0
PRV51117,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0
PRV51118,16.0,7.8125,0.875,0.0625,0.0,0.10089736652236653,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51119,94.0,8.01063829787234,0.776595744680851,0.07446808510638298,0.02127659574468085,0.08906926406926406,1.0,0.0,2.0,0.0,1.0,0.0,1
PRV51120,7.0,9.142857142857142,0.7142857142857143,0.2857142857142857,0.0,0.06883116883116883,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51121,6.0,7.666666666666667,0.8333333333333334,0.3333333333333333,0.0,0.11363636363636365,1.0,0.0,0.0,0.0,0.0,0.0,0
PRV51122,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0
PRV51123,2.0,9.0,0.5,0.0,0.0,0.05,29.0,8.333333333333334,0.0,0.034482758620689655,0.0,0.0,0
PRV51125,12.0,8.5,0.8333333333333334,0.0,0.0,0.09444444444444444,36.0,0.0,0.0,0.0,0.0,0.0,0
PRV51126,20.0,8.05,0.7,0.05,0.0,0.07484126984126985,0.0,0.0,0.0,0.0,0.0,0.0,1
PRV51128,5.0,8.4,0.6,0.0,0.0,0.06000000000000001,45.0,9.666666666666666,0.0,0.044444444444444446,0.0,0.0,0
PRV51129,0.0,0.0,0.0,0.0,0.0,0.0,96.0,9.0,0.0,0.0,0.0,0.0,0
PRV51130,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.14285714285714285,0.0,0.0,0
PRV51131,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0
PRV51132,1.0,7.0,1.0,0.0,0.0,0.125,7.0,0.0,0.0,0.0,0.0,0.0,0
PRV51134,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,0
PRV51135,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0
PRV51136,1.0,9.0,2.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51137,1.0,9.0,1.0,0.0,0.0,0.1,54.0,8.571428571428571,0.0,0.0,0.0,0.0,0
PRV51138,1.0,5.0,1.0,0.0,0.0,0.16666666666666666,25.0,5.0,0.0,0.0,0.0,0.0,0
PRV51139,7.0,8.714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.014285714285714287,36.0,9.0,0.0,0.0,0.0,0.0,0
PRV51140,47.0,7.957446808510638,0.5319148936170213,0.10638297872340426,0.02127659574468085,0.06368855730557858,440.0,8.235294117647058,0.0,0.00909090909090909,0.0,0.0,0
PRV51141,0.0,0.0,0.0,0.0,0.0,0.0,71.0,9.2,0.0,0.014084507042253521,0.0,0.0,0
PRV51142,7.0,8.857142857142858,0.8571428571428571,0.42857142857142855,0.0,0.08051948051948053,44.0,1.0,0.0,0.0,0.0,0.0,0
PRV51143,0.0,0.0,0.0,0.0,0.0,0.0,77.0,8.25,0.0,0.012987012987012988,0.0,0.0,0
PRV51144,4.0,8.75,0.75,0.0,0.0,0.07500000000000001,26.0,8.666666666666666,0.0,0.0,0.0,0.0,0
PRV51145,161.0,7.925465838509317,0.8074534161490683,0.10559006211180125,0.037267080745341616,0.09748751938192932,41.0,4.0,0.0,0.0,0.0,0.0,1
PRV51146,162.0,8.0,0.691358024691358,0.10493827160493827,0.024691358024691357,0.08204977464236723,190.0,8.304347826086957,0.0,0.021052631578947368,0.0,0.0,1
PRV51147,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,0
PRV51148,34.0,8.176470588235293,0.9117647058823529,0.11764705882352941,0.029411764705882353,0.1001549104490281,296.0,8.222222222222221,0.0,0.013513513513513514,0.0,0.0,1
PRV51149,116.0,8.181034482758621,0.7155172413793104,0.11206896551724138,0.008620689655172414,0.0810204881325571,32.0,6.0,0.0,0.0,0.0,0.0,1
PRV51151,22.0,8.0,0.6363636363636364,0.0,0.0,0.07328643578643579,211.0,8.368421052631579,0.0,0.014218009478672985,0.0,0.0,0
PRV51152,0.0,0.0,0.0,0.0,0.0,0.0,83.0,8.666666666666666,0.0,0.012048192771084338,0.0,0.0,0
PRV51153,4.0,7.5,1.25,0.0,0.0,0.1527777777777778,83.0,7.285714285714286,0.0,0.0,0.0,0.0,0
PRV51154,0.0,0.0,0.0,0.0,0.0,0.0,161.0,7.961538461538462,0.0,0.024844720496894408,0.0,0.0,0
PRV51155,0.0,0.0,0.0,0.0,0.0,0.0,115.0,8.444444444444445,0.0,0.017391304347826087,0.0,0.0,0
PRV51156,0.0,0.0,0.0,0.0,0.0,0.0,542.0,7.52,0.0,0.012915129151291513,0.0,0.0,0
PRV51159,65.0,8.03076923076923,0.6461538461538462,0.13846153846153847,0.0,0.06982683982683982,504.0,8.481481481481481,0.0,0.003968253968253968,0.0,0.0,1
PRV51160,90.0,7.955555555555556,0.7444444444444445,0.08888888888888889,0.022222222222222223,0.08476911976911977,24.0,9.0,0.0,0.0,0.0,0.0,0
PRV51164,41.0,8.487804878048781,0.6341463414634146,0.04878048780487805,0.0,0.06494650336113751,350.0,8.054054054054054,0.0,0.008571428571428572,0.0,0.0,0
PRV51165,26.0,8.192307692307692,1.0,0.11538461538461539,0.038461538461538464,0.10912975912975914,72.0,5.5,0.0,0.0,0.0,0.0,0
PRV51166,1.0,8.0,1.0,0.0,0.0,0.1111111111111111,4.0,0.0,0.0,0.0,0.0,0.0,0
PRV51167,0.0,0.0,0.0,0.0,0.0,0.0,190.0,7.615384615384615,0.0,0.0,0.0,0.0,0
PRV51168,9.0,6.888888888888889,0.6666666666666666,0.0,0.0,0.07777777777777778,78.0,9.0,0.0,0.0,0.0,0.0,0
PRV51169,0.0,0.0,0.0,0.0,0.0,0.0,77.0,9.25,0.0,0.012987012987012988,0.0,0.0,0
PRV51170,8.0,8.0,1.0,0.0,0.0,0.13055555555555556,8.0,0.0,0.0,0.0,0.0,0.0,1
PRV51171,0.0,0.0,0.0,0.0,0.0,0.0,59.0,8.571428571428571,0.0,0.05084745762711865,0.0,0.0,0
PRV51173,7.0,7.714285714285714,1.1428571428571428,0.14285714285714285,0.0,0.13044733044733045,15.0,8.0,0.0,0.0,0.0,0.0,1
PRV51175,0.0,0.0,0.0,0.0,0.0,0.0,41.0,9.0,0.0,0.0,0.0,0.0,0
PRV51176,0.0,0.0,0.0,0.0,0.0,0.0,445.0,8.076923076923077,0.0,0.0044943820224719105,0.0,0.0,0
PRV51178,34.0,8.647058823529411,0.7941176470588235,0.14705882352941177,0.0,0.08612702656820304,31.0,9.666666666666666,0.0,0.06451612903225806,0.0,0.0,1
PRV51179,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9.333333333333334,0.0,0.038461538461538464,0.0,0.0,0
PRV51180,2.0,7.0,0.5,0.0,0.0,0.05,127.0,8.136363636363637,0.0,0.031496062992125984,0.0,0.0,0
PRV51181,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0
PRV51183,41.0,7.926829268292683,0.5853658536585366,0.12195121951219512,0.0,0.0668523211206138,72.0,8.5,0.0,0.0,0.0,0.0,0
PRV51185,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.333333333333334,0.0,0.0,0.0,0.0,0
PRV51186,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0
PRV51189,0.0,0.0,0.0,0.0,0.0,0.0,56.0,7.428571428571429,0.0,0.0,0.0,0.0,0
PRV51190,3.0,7.666666666666667,0.6666666666666666,0.0,0.0,0.08333333333333333,63.0,6.285714285714286,0.0,0.0,0.0,0.0,0
PRV51191,0.0,0.0,0.0,0.0,0.0,0.0,32.0,9.5,0.0,0.03125,0.0,0.0,0
PRV51194,2.0,8.5,0.5,0.0,0.0,0.05555555555555555,7.0,9.5,0.0,0.14285714285714285,0.0,0.0,0
PRV51196,0.0,0.0,0.0,0.0,0.0,0.0,720.0,8.477272727272727,0.0,0.006944444444444444,0.0,0.0,0
PRV51198,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0
PRV51200,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0
PRV51201,0.0,0.0,0.0,0.0,0.0,0.0,45.0,8.0,0.0,0.0,0.0,0.0,0
PRV51202,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0
PRV51203,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.5,0.0,0.0,0.0,0.0,0
PRV51204,0.0,0.0,0.0,0.0,0.0,0.0,499.0,8.157894736842104,0.0,0.008016032064128256,0.0,0.0,0
PRV51205,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0
PRV51206,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0
PRV51207,3.0,7.666666666666667,1.0,0.0,0.0,0.12222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51209,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8.5,0.0,0.0,0.0,0.0,0
PRV51210,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0
PRV51211,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
PRV51212,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,0
PRV51213,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
PRV51214,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0
PRV51215,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0
PRV51216,0.0,0.0,0.0,0.0,0.0,0.0,71.0,7.857142857142857,0.0,0.014084507042253521,0.0,0.0,0
PRV51217,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0
PRV51218,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0
PRV51219,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0
PRV51221,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0
PRV51222,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.666666666666667,0.0,0.0,0.0,0.0,0
PRV51224,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0
PRV51225,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0
PRV51226,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0
PRV51228,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0
PRV51229,0.0,0.0,0.0,0.0,0.0,0.0,47.0,8.0,0.0,0.02127659574468085,0.0,0.0,0
PRV51230,0.0,0.0,0.0,0.0,0.0,0.0,30.0,8.0,0.0,0.0,0.0,0.0,0
PRV51231,2.0,7.5,2.0,0.0,0.0,0.24285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51232,1.0,9.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51233,3.0,5.666666666666667,0.6666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51234,5.0,8.6,1.2,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51235,2.0,6.5,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51236,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51237,1.0,4.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51238,8.0,8.875,0.625,0.125,0.125,0.06388888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51239,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51240,11.0,8.0,0.7272727272727273,0.09090909090909091,0.0,0.07897153351698806,49.0,7.0,0.0,0.0,0.0,0.0,0
PRV51241,10.0,8.3,0.5,0.2,0.0,0.049090909090909095,50.0,8.0,0.0,0.0,0.0,0.0,0
PRV51242,11.0,7.909090909090909,0.8181818181818182,0.09090909090909091,0.0,0.10913026367571822,100.0,9.0,0.0,0.0,0.0,0.0,1
PRV51243,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0
PRV51244,200.0,8.115,0.73,0.085,0.015,0.08575829725829726,1215.0,8.421052631578947,0.0016460905349794238,0.009876543209876543,0.0008230452674897119,0.0,1
PRV51245,4.0,9.0,0.75,0.0,0.0,0.07500000000000001,169.0,7.5,0.0,0.0,0.0,0.0,0
PRV51247,10.0,8.2,0.7,0.0,0.0,0.07250000000000001,24.0,0.0,0.0,0.0,0.0,0.0,0
PRV51248,1.0,9.0,1.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0
PRV51249,51.0,7.490196078431373,0.6274509803921569,0.058823529411764705,0.0196078431372549,0.07516410604645898,75.0,9.5,0.0,0.02666666666666667,0.0,0.0,1
PRV51250,0.0,0.0,0.0,0.0,0.0,0.0,85.0,5.2,0.0,0.0,0.0,0.0,0
PRV51251,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0
PRV51252,18.0,7.388888888888889,0.6666666666666666,0.05555555555555555,0.0,0.0902557319223986,69.0,9.166666666666666,0.0,0.014492753623188406,0.0,0.0,0
PRV51253,0.0,0.0,0.0,0.0,0.0,0.0,85.0,9.0,0.0,0.047058823529411764,0.0,0.0,0
PRV51255,2.0,6.5,1.0,0.0,0.0,0.1,72.0,9.0,0.0,0.0,0.0,0.0,0
PRV51256,0.0,0.0,0.0,0.0,0.0,0.0,95.0,8.25,0.0,0.0,0.0,0.0,0
PRV51258,8.0,8.125,0.875,0.0,0.0,0.10625000000000001,6.0,0.0,0.0,0.0,0.0,0.0,0
PRV51259,4.0,7.25,1.25,0.0,0.0,0.13125,17.0,0.0,0.0,0.0,0.0,0.0,0
PRV51260,3.0,9.0,0.6666666666666666,0.0,0.0,0.06666666666666667,59.0,8.375,0.0,0.01694915254237288,0.0,0.0,0
PRV51261,26.0,7.230769230769231,0.7692307692307693,0.07692307692307693,0.0,0.0978049728049728,116.0,8.2,0.0,0.008620689655172414,0.0,0.0,0
PRV51262,0.0,0.0,0.0,0.0,0.0,0.0,60.0,9.0,0.0,0.0,0.0,0.0,0
PRV51263,18.0,8.5,0.6111111111111112,0.1111111111111111,0.0,0.06669071669071669,26.0,9.0,0.0,0.0,0.0,0.0,1
PRV51264,0.0,0.0,0.0,0.0,0.0,0.0,39.0,9.0,0.0,0.0,0.0,0.0,0
PRV51265,0.0,0.0,0.0,0.0,0.0,0.0,160.0,7.294117647058823,0.00625,0.0125,0.00625,0.0,0
PRV51266,10.0,7.1,0.4,0.1,0.0,0.05611111111111111,82.0,8.0,0.0,0.0,0.0,0.0,0
PRV51267,2.0,9.0,1.0,0.0,0.0,0.1,12.0,9.0,0.0,0.0,0.0,0.0,0
PRV51271,2.0,9.5,0.0,0.5,0.0,0.0,121.0,8.0,0.0,0.008264462809917356,0.0,0.0,0
