Provider,In_TotalClaims,In_AvgDiagnosisCount,In_AvgProcedureCount,In_PctFullDiagnosis,In_PctHighProcedure,In_AvgProcDiagRatio,Out_TotalClaims,Out_AvgDiagnosisCount,Out_AvgProcedureCount,Out_PctFullDiagnosis,Out_PctHasProcedure,Out_AvgProcDiagRatio,PotentialFraud,Bene_UniqueCount,Bene_AvgAge,Bene_AvgChronicCount,Bene_PctChronic,Bene_AvgReimbursed,Bene_AvgDeductible
PRV51038,30.0,7.3,0.5,0.1333333333333333,0.0333333333333333,0.0681373256373256,111.0,8.071428571428571,0.0,0.018018018018018,0.0,0.0,0,26.0,71.73076923076923,17.423076923076923,1.0,12592.307692307691,1622.1538461538462
PRV51040,9.0,7.777777777777778,0.7777777777777778,0.0,0.0,0.1030864197530864,77.0,7.0,0.0,0.0,0.0,0.0,0,8.0,76.875,16.5,1.0,26566.25,3021.0
PRV51041,0.0,0.0,0.0,0.0,0.0,0.0,34.0,7.666666666666667,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51042,0.0,0.0,0.0,0.0,0.0,0.0,142.0,7.9,0.0,0.0140845070422535,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51043,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51044,0.0,0.0,0.0,0.0,0.0,0.0,59.0,6.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51045,0.0,0.0,0.0,0.0,0.0,0.0,31.0,9.0,0.0,0.032258064516129,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51046,8.0,8.0,0.625,0.0,0.0,0.065625,30.0,9.5,0.0,0.0333333333333333,0.0,0.0,0,7.0,76.0,16.428571428571427,1.0,17882.85714285714,1494.5714285714287
PRV51047,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51048,4.0,8.5,0.75,0.25,0.0,0.0834415584415584,34.0,9.4,0.0,0.088235294117647,0.0,0.0,0,4.0,68.0,16.0,1.0,9317.5,2409.5
PRV51049,0.0,0.0,0.0,0.0,0.0,0.0,71.0,8.75,0.0,0.0140845070422535,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51052,2.0,8.5,0.5,0.0,0.0,0.05,44.0,8.0,0.0,0.0227272727272727,0.0,0.0,1,2.0,74.5,16.0,1.0,9500.0,1378.0
PRV51053,1.0,9.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,69.0,18.0,1.0,8090.0,1068.0
PRV51054,0.0,0.0,0.0,0.0,0.0,0.0,57.0,8.333333333333334,0.0,0.0175438596491228,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51055,2.0,9.0,1.0,0.0,0.0,0.1,20.0,8.0,0.0,0.0,0.0,0.0,0,2.0,55.5,18.0,1.0,11540.0,1767.0
PRV51056,2.0,7.5,1.0,0.0,0.0,0.1,20.0,0.0,0.0,0.0,0.0,0.0,0,2.0,84.5,16.5,1.0,11690.0,2646.0
PRV51057,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51058,5.0,8.4,1.0,0.4,0.0,0.1163636363636363,78.0,9.0,0.0,0.0,0.0,0.0,0,5.0,74.8,15.8,1.0,24810.0,1840.8
PRV51059,25.0,8.88,0.96,0.2,0.08,0.0995454545454545,71.0,8.25,0.0,0.0140845070422535,0.0,0.0,1,23.0,77.95652173913044,16.17391304347826,1.0,33965.217391304344,2689.304347826087
PRV51060,5.0,8.4,0.0,0.0,0.0,0.0,37.0,7.6,0.0,0.027027027027027,0.0,0.0,0,5.0,76.6,15.4,1.0,14742.0,2488.4
PRV51061,1.0,7.0,2.0,0.0,0.0,0.25,144.0,7.285714285714286,0.0,0.0,0.0,0.0,0,1.0,85.0,17.0,1.0,6780.0,2346.0
PRV51062,3.0,9.0,1.6666666666666667,0.0,0.0,0.1666666666666666,394.0,7.896551724137931,0.0,0.0101522842639593,0.0,0.0,0,3.0,75.0,17.666666666666668,1.0,34920.0,1893.3333333333333
PRV51063,0.0,0.0,0.0,0.0,0.0,0.0,149.0,7.181818181818182,0.0,0.0134228187919463,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51064,36.0,7.833333333333333,0.7222222222222222,0.0555555555555555,0.0555555555555555,0.087413820747154,267.0,8.304347826086957,0.0,0.0074906367041198,0.0,0.0,1,34.0,72.55882352941177,16.794117647058822,1.0,12399.117647058823,1993.6470588235295
PRV51065,10.0,8.9,0.9,0.1,0.0,0.0915909090909091,18.0,9.333333333333334,0.0,0.0555555555555555,0.0,0.0,0,10.0,81.3,17.0,1.0,14651.0,2119.2
PRV51066,2.0,7.5,1.0,0.5,0.0,0.1287878787878787,22.0,6.666666666666667,0.0,0.0,0.0,0.0,0,2.0,55.5,19.5,1.0,24055.0,3146.0
PRV51067,12.0,8.916666666666666,1.0833333333333333,0.25,0.0833333333333333,0.1077441077441077,46.0,7.4,0.0,0.0217391304347826,0.0,0.0,1,11.0,79.72727272727273,16.90909090909091,1.0,40695.454545454544,1962.3636363636363
PRV51068,9.0,7.777777777777778,0.3333333333333333,0.0,0.0,0.0388888888888888,252.0,7.892857142857143,0.0,0.0119047619047619,0.0,0.0,0,9.0,73.44444444444444,17.555555555555557,1.0,13590.0,2057.1111111111113
PRV51070,10.0,7.7,0.6,0.2,0.1,0.1040909090909091,89.0,7.0,0.0,0.0,0.0,0.0,0,10.0,71.7,16.2,1.0,15943.0,2165.2
PRV51071,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.25,0.0,0.0833333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51072,12.0,8.833333333333334,0.5,0.3333333333333333,0.0,0.0477272727272727,200.0,8.642857142857142,0.0,0.01,0.0,0.0,0,12.0,77.08333333333333,16.916666666666668,1.0,11155.0,1749.6666666666667
PRV51074,5.0,8.2,0.2,0.0,0.0,0.0333333333333333,34.0,7.25,0.0,0.0,0.0,0.0,0,5.0,76.8,16.6,1.0,20704.0,1740.0
PRV51075,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,0.0,0.0588235294117647,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51076,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.25,0.0,0.0344827586206896,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51077,16.0,7.9375,0.5,0.125,0.0,0.0571022727272727,17.0,3.0,0.0,0.0,0.0,0.0,1,13.0,75.61538461538461,15.307692307692308,1.0,22266.923076923078,2758.4615384615386
PRV51078,9.0,8.88888888888889,0.8888888888888888,0.2222222222222222,0.0,0.0868686868686868,14.0,9.0,0.0,0.0,0.0,0.0,0,9.0,70.33333333333333,16.88888888888889,1.0,9937.777777777777,1362.2222222222222
PRV51081,6.0,8.333333333333334,1.5,0.0,0.1666666666666666,0.1611111111111111,194.0,8.366666666666667,0.0,0.0257731958762886,0.0,0.0,0,6.0,69.33333333333333,16.833333333333332,1.0,22013.333333333332,1817.3333333333333
PRV51082,0.0,0.0,0.0,0.0,0.0,0.0,34.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51083,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.166666666666667,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51084,20.0,8.4,0.7,0.0,0.0,0.0792857142857142,90.0,6.5,0.0,0.0,0.0,0.0,1,19.0,73.78947368421052,16.36842105263158,1.0,14683.157894736842,1943.4736842105262
PRV51086,31.0,8.548387096774194,0.7741935483870968,0.1612903225806451,0.0,0.0840152678862356,108.0,9.25,0.0,0.0092592592592592,0.0,0.0,0,30.0,74.76666666666667,16.366666666666667,1.0,22007.0,2112.4
PRV51089,18.0,8.444444444444445,0.9444444444444444,0.1111111111111111,0.0,0.0960578002244669,210.0,8.136363636363637,0.0,0.0142857142857142,0.0,0.0,0,18.0,72.83333333333333,16.833333333333332,1.0,20434.444444444445,2583.4444444444443
PRV51090,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51091,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.25,0.0,0.0227272727272727,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51093,2.0,9.0,1.0,0.0,0.0,0.1,7.0,0.0,0.0,0.0,0.0,0.0,0,2.0,84.0,16.5,1.0,15910.0,1253.0
PRV51096,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51097,0.0,0.0,0.0,0.0,0.0,0.0,125.0,7.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51098,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51100,5.0,8.6,0.8,0.2,0.0,0.0867532467532467,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,71.6,18.4,1.0,16480.0,1304.0
PRV51101,3.0,7.333333333333333,0.3333333333333333,0.0,0.0,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,58.0,15.666666666666666,1.0,9373.333333333334,1890.0
PRV51102,12.0,8.333333333333334,0.9166666666666666,0.1666666666666666,0.0,0.0973905723905724,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,81.72727272727273,17.363636363636363,1.0,15515.454545454546,1507.4545454545455
PRV51103,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
PRV51104,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0833333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51105,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51108,19.0,7.578947368421052,0.3157894736842105,0.0,0.0,0.0518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0,19.0,72.89473684210526,16.05263157894737,1.0,15515.263157894737,2662.315789473684
PRV51109,3.0,8.666666666666666,1.3333333333333333,0.0,0.0,0.1407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,57.0,13.666666666666666,1.0,8903.333333333334,2456.6666666666665
PRV51110,5.0,9.4,0.8,0.4,0.0,0.0763636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,68.6,16.4,1.0,6644.0,1555.6
PRV51111,0.0,0.0,0.0,0.0,0.0,0.0,132.0,6.571428571428571,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51112,0.0,0.0,0.0,0.0,0.0,0.0,304.0,7.954545454545454,0.0,0.0131578947368421,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51113,0.0,0.0,0.0,0.0,0.0,0.0,132.0,9.142857142857142,0.0075757575757575,0.0075757575757575,0.0075757575757575,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51114,0.0,0.0,0.0,0.0,0.0,0.0,262.0,8.074074074074074,0.0,0.0076335877862595,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51115,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51117,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51118,16.0,7.8125,0.875,0.0625,0.0,0.1008973665223665,0.0,0.0,0.0,0.0,0.0,0.0,0,16.0,68.1875,16.9375,1.0,28891.25,2298.0625
PRV51119,94.0,8.01063829787234,0.776595744680851,0.0744680851063829,0.0212765957446808,0.089069264069264,1.0,0.0,2.0,0.0,1.0,0.0,1,81.0,75.74074074074075,16.876543209876544,1.0,21592.962962962964,2295.1728395061727
PRV51120,7.0,9.142857142857142,0.7142857142857143,0.2857142857142857,0.0,0.0688311688311688,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,61.857142857142854,17.0,1.0,13772.857142857143,1633.142857142857
PRV51121,6.0,7.666666666666667,0.8333333333333334,0.3333333333333333,0.0,0.1136363636363636,1.0,0.0,0.0,0.0,0.0,0.0,0,6.0,69.0,18.0,1.0,25050.0,2755.6666666666665
PRV51122,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51123,2.0,9.0,0.5,0.0,0.0,0.05,29.0,8.333333333333334,0.0,0.0344827586206896,0.0,0.0,0,2.0,61.5,16.0,1.0,33090.0,7877.0
PRV51125,12.0,8.5,0.8333333333333334,0.0,0.0,0.0944444444444444,36.0,0.0,0.0,0.0,0.0,0.0,0,12.0,64.08333333333333,17.416666666666668,1.0,10616.666666666666,1454.5
PRV51126,20.0,8.05,0.7,0.05,0.0,0.0748412698412698,0.0,0.0,0.0,0.0,0.0,0.0,1,14.0,70.42857142857143,16.785714285714285,1.0,18880.714285714286,3129.8571428571427
PRV51128,5.0,8.4,0.6,0.0,0.0,0.06,45.0,9.666666666666666,0.0,0.0444444444444444,0.0,0.0,0,3.0,72.0,16.333333333333332,1.0,31233.333333333332,2086.6666666666665
PRV51129,0.0,0.0,0.0,0.0,0.0,0.0,96.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51130,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.1428571428571428,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51131,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51132,1.0,7.0,1.0,0.0,0.0,0.125,7.0,0.0,0.0,0.0,0.0,0.0,0,1.0,71.0,20.0,1.0,4000.0,1068.0
PRV51134,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51135,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51136,1.0,9.0,2.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,72.0,20.0,1.0,20400.0,1288.0
PRV51137,1.0,9.0,1.0,0.0,0.0,0.1,54.0,8.571428571428571,0.0,0.0,0.0,0.0,0,1.0,86.0,17.0,1.0,27070.0,2256.0
PRV51138,1.0,5.0,1.0,0.0,0.0,0.1666666666666666,25.0,5.0,0.0,0.0,0.0,0.0,0,1.0,43.0,21.0,1.0,6300.0,1068.0
PRV51139,7.0,8.714285714285714,0.1428571428571428,0.1428571428571428,0.0,0.0142857142857142,36.0,9.0,0.0,0.0,0.0,0.0,0,7.0,79.71428571428571,16.428571428571427,1.0,7707.142857142857,1429.4285714285713
PRV51140,47.0,7.957446808510638,0.5319148936170213,0.1063829787234042,0.0212765957446808,0.0636885573055785,440.0,8.235294117647058,0.0,0.009090909090909,0.0,0.0,0,45.0,75.71111111111111,16.57777777777778,1.0,14651.555555555555,2288.266666666667
PRV51141,0.0,0.0,0.0,0.0,0.0,0.0,71.0,9.2,0.0,0.0140845070422535,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51142,7.0,8.857142857142858,0.8571428571428571,0.4285714285714285,0.0,0.0805194805194805,44.0,1.0,0.0,0.0,0.0,0.0,0,5.0,73.4,17.0,1.0,27048.0,2386.4
PRV51143,0.0,0.0,0.0,0.0,0.0,0.0,77.0,8.25,0.0,0.0129870129870129,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51144,4.0,8.75,0.75,0.0,0.0,0.075,26.0,8.666666666666666,0.0,0.0,0.0,0.0,0,4.0,76.75,16.75,1.0,14592.5,1528.0
PRV51145,161.0,7.925465838509317,0.8074534161490683,0.1055900621118012,0.0372670807453416,0.0974875193819293,41.0,4.0,0.0,0.0,0.0,0.0,1,125.0,74.056,17.056,1.0,15186.64,1844.48
PRV51146,162.0,8.0,0.691358024691358,0.1049382716049382,0.0246913580246913,0.0820497746423672,190.0,8.304347826086957,0.0,0.0210526315789473,0.0,0.0,1,157.0,73.88535031847134,16.713375796178344,1.0,17233.248407643314,2215.1592356687897
PRV51147,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51148,34.0,8.176470588235293,0.9117647058823528,0.1176470588235294,0.0294117647058823,0.1001549104490281,296.0,8.222222222222221,0.0,0.0135135135135135,0.0,0.0,1,33.0,75.66666666666667,16.242424242424242,1.0,25446.666666666668,2589.5757575757575
PRV51149,116.0,8.181034482758621,0.7155172413793104,0.1120689655172413,0.0086206896551724,0.0810204881325571,32.0,6.0,0.0,0.0,0.0,0.0,1,108.0,72.81481481481481,16.39814814814815,1.0,19803.24074074074,2498.1481481481483
PRV51151,22.0,8.0,0.6363636363636364,0.0,0.0,0.0732864357864357,211.0,8.368421052631579,0.0,0.0142180094786729,0.0,0.0,0,22.0,75.5,16.5,1.0,14287.272727272728,2065.4545454545455
PRV51152,0.0,0.0,0.0,0.0,0.0,0.0,83.0,8.666666666666666,0.0,0.0120481927710843,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51153,4.0,7.5,1.25,0.0,0.0,0.1527777777777778,83.0,7.285714285714286,0.0,0.0,0.0,0.0,0,4.0,74.25,16.75,1.0,16867.5,1605.0
PRV51154,0.0,0.0,0.0,0.0,0.0,0.0,161.0,7.961538461538462,0.0,0.0248447204968944,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51155,0.0,0.0,0.0,0.0,0.0,0.0,115.0,8.444444444444445,0.0,0.017391304347826,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51156,0.0,0.0,0.0,0.0,0.0,0.0,542.0,7.52,0.0,0.0129151291512915,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51159,65.0,8.03076923076923,0.6461538461538462,0.1384615384615384,0.0,0.0698268398268398,504.0,8.481481481481481,0.0,0.0039682539682539,0.0,0.0,1,60.0,73.7,16.95,1.0,14919.5,1949.7333333333333
PRV51160,90.0,7.955555555555556,0.7444444444444445,0.0888888888888888,0.0222222222222222,0.0847691197691197,24.0,9.0,0.0,0.0,0.0,0.0,0,87.0,73.70114942528735,16.402298850574713,1.0,18458.3908045977,2283.057471264368
PRV51164,41.0,8.487804878048781,0.6341463414634146,0.048780487804878,0.0,0.0649465033611375,350.0,8.054054054054054,0.0,0.0085714285714285,0.0,0.0,0,40.0,75.4,16.3,1.0,15812.5,2317.15
PRV51165,26.0,8.192307692307692,1.0,0.1153846153846153,0.0384615384615384,0.1091297591297591,72.0,5.5,0.0,0.0,0.0,0.0,0,26.0,70.42307692307692,16.53846153846154,1.0,19240.76923076923,2588.0
PRV51166,1.0,8.0,1.0,0.0,0.0,0.1111111111111111,4.0,0.0,0.0,0.0,0.0,0.0,0,1.0,81.0,20.0,1.0,22150.0,1198.0
PRV51167,0.0,0.0,0.0,0.0,0.0,0.0,190.0,7.615384615384615,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51168,9.0,6.888888888888889,0.6666666666666666,0.0,0.0,0.0777777777777777,78.0,9.0,0.0,0.0,0.0,0.0,0,9.0,80.55555555555556,16.22222222222222,1.0,19534.444444444445,2808.6666666666665
PRV51169,0.0,0.0,0.0,0.0,0.0,0.0,77.0,9.25,0.0,0.0129870129870129,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51170,8.0,8.0,1.0,0.0,0.0,0.1305555555555555,8.0,0.0,0.0,0.0,0.0,0.0,1,8.0,72.5,16.25,1.0,25618.75,2498.75
PRV51171,0.0,0.0,0.0,0.0,0.0,0.0,59.0,8.571428571428571,0.0,0.0508474576271186,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51173,7.0,7.714285714285714,1.1428571428571428,0.1428571428571428,0.0,0.1304473304473304,15.0,8.0,0.0,0.0,0.0,0.0,1,7.0,75.42857142857143,18.0,1.0,19240.0,2379.714285714286
PRV51175,0.0,0.0,0.0,0.0,0.0,0.0,41.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51176,0.0,0.0,0.0,0.0,0.0,0.0,445.0,8.076923076923077,0.0,0.0044943820224719,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51178,34.0,8.647058823529411,0.7941176470588235,0.1470588235294117,0.0,0.086127026568203,31.0,9.666666666666666,0.0,0.064516129032258,0.0,0.0,1,33.0,74.33333333333333,16.424242424242426,1.0,23298.18181818182,2846.242424242424
PRV51179,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9.333333333333334,0.0,0.0384615384615384,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51180,2.0,7.0,0.5,0.0,0.0,0.05,127.0,8.136363636363637,0.0,0.0314960629921259,0.0,0.0,0,2.0,77.5,18.0,1.0,29165.0,2182.0
PRV51181,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51183,41.0,7.926829268292683,0.5853658536585366,0.1219512195121951,0.0,0.0668523211206138,72.0,8.5,0.0,0.0,0.0,0.0,0,41.0,72.97560975609755,16.414634146341463,1.0,17662.439024390245,2281.7073170731705
